Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,7.85,7.85,6.16,6.81,117400,5.854476
2013-03-01,7.21,7.95,6.76,7.82,131400,6.722762
2013-02-01,8.11,8.59,7.02,7.25,166500,6.097468
2013-01-02,8.13,8.38,7.70,8.07,47200,6.787113
2012-12-03,7.55,8.09,7.10,8.06,70800,6.778703
2012-11-01,6.96,7.89,6.72,7.50,63600,6.307726
2012-10-01,6.60,7.23,6.32,6.70,49800,5.634902
2012-09-04,5.64,6.70,5.60,6.35,55000,5.240916
2012-08-01,5.96,6.52,5.35,5.60,37300,4.621911
2012-07-02,6.56,6.71,5.40,6.03,27100,4.976808
2012-06-01,6.35,6.96,6.17,6.55,46400,5.405985
2012-05-01,6.79,7.05,5.60,6.31,55200,5.207903
2012-04-02,7.25,7.43,6.24,6.79,43500,5.604066
2012-03-01,7.94,8.08,6.70,7.46,82500,6.157045
2012-02-01,6.55,8.16,6.47,7.71,121700,6.36338
2012-01-03,5.74,6.65,5.28,6.51,89500,5.372971
2011-12-01,6.65,6.95,5.36,5.43,91400,4.481602
2011-11-01,5.54,7.27,5.54,6.71,114800,5.538039
2011-10-03,5.21,6.88,4.93,6.49,140500,5.356464
2011-09-01,5.40,5.79,4.90,5.08,172900,4.123363
2011-08-01,4.65,5.48,4.21,5.38,156400,4.366868
2011-07-01,4.88,5.10,4.43,4.60,85000,3.733753
2011-06-01,5.11,5.33,4.26,4.84,113500,3.928558
2011-05-02,6.19,6.23,4.72,5.10,155400,4.139596
2011-04-01,5.21,6.11,5.10,6.01,250600,4.878231
2011-03-01,4.81,5.30,4.40,5.30,151500,4.301934
2011-02-01,4.53,4.97,4.50,4.77,70900,3.87174
2011-01-03,4.93,5.15,4.45,4.51,108200,3.660702
2010-12-01,4.79,5.11,4.68,4.87,117300,3.952909
2010-11-01,5.00,5.42,4.65,4.74,101900,3.847389
2010-10-01,5.22,5.65,4.60,4.92,102000,3.993493
2010-09-01,4.15,5.35,3.99,5.19,151200,4.159104
2010-08-02,4.19,4.34,3.96,4.04,81700,3.23753
2010-07-01,4.37,4.45,3.92,4.14,40700,3.317667
2010-06-01,4.46,4.98,4.15,4.35,71600,3.485954
2010-05-03,5.12,5.32,4.07,4.42,138100,3.54205
2010-04-01,4.98,5.43,4.88,5.03,174300,4.030885
2010-03-01,6.19,6.50,4.61,4.89,455700,3.918693
2010-02-01,5.65,6.67,5.45,6.06,134100,4.856295
2010-01-04,6.97,7.90,5.51,5.56,193600,4.45561
2009-12-01,5.37,7.25,5.31,6.84,362100,5.481362
2009-11-02,6.01,6.55,4.45,5.31,303000,4.255268
2009-10-01,7.02,8.05,5.75,5.87,231600,4.704035
2009-09-01,7.00,9.00,6.54,7.24,215900,5.755347
2009-08-03,7.88,8.25,6.98,7.02,88000,5.580461
2009-07-01,8.16,8.53,6.91,7.61,199200,6.049474
2009-06-01,10.30,10.30,7.50,7.59,219000,6.033575
2009-05-01,7.81,10.59,7.65,10.33,168100,8.211703
2009-04-01,8.47,9.00,6.80,7.85,208000,6.240259
2009-03-02,8.06,9.83,7.38,8.45,219500,6.717221
2009-02-02,6.79,9.62,6.79,7.97,294600,6.335651
2009-01-02,5.75,7.17,4.90,6.54,141900,5.198891
2008-12-01,4.32,5.95,3.93,5.57,132800,4.427802
2008-11-03,3.58,4.80,2.85,4.80,134200,3.8157
2008-10-01,4.64,5.13,3.02,3.64,258400,2.893572
2008-09-02,5.26,5.98,3.96,4.43,246800,3.405397
2008-08-01,6.38,6.40,4.89,5.67,156500,4.358601
2008-07-01,7.78,8.03,6.12,6.46,152000,4.965884
2008-06-02,7.85,8.08,6.10,7.72,204700,5.934462
2008-05-01,7.55,9.00,7.00,8.02,209800,6.165076
2008-04-01,9.53,10.31,7.38,7.65,215500,5.880652
2008-03-03,12.65,13.14,9.74,9.80,312000,7.533385
2008-02-01,12.19,13.52,10.45,12.67,360000,9.73959
2008-01-02,7.48,12.45,7.14,12.11,608800,9.309111
2007-12-03,8.10,8.32,6.97,7.10,122100,5.45786
2007-11-01,9.00,9.83,7.60,8.14,246500,6.257322
2007-10-01,8.08,10.29,7.37,8.79,306000,6.756985
2007-09-04,5.66,8.76,5.45,8.04,365000,6.18045
2007-08-01,6.54,6.56,4.73,5.59,207300,4.297104
2007-07-02,0.73,7.76,0.65,6.83,163200,5.250308
2007-06-01,0.86,0.88,0.67,0.73,164000,5.611603
2007-05-01,0.77,0.94,0.74,0.84,296200,6.457187
2007-04-02,0.66,0.79,0.65,0.76,541100,5.842216
2007-03-01,0.75,0.79,0.54,0.67,603500,5.150375
2007-02-01,0.82,0.90,0.71,0.80,363200,6.149702
2007-01-03,0.94,0.94,0.75,0.81,233300,6.226573
2006-12-01,1.13,1.14,0.84,0.90,405100,6.918415
2006-11-01,1.33,1.38,1.07,1.14,375100,8.763325
2006-10-02,1.37,1.42,1.19,1.29,196300,9.916393
2006-09-01,1.40,1.63,1.25,1.38,271300,10.608235
2006-08-01,1.36,1.48,1.26,1.42,198500,10.91572
2006-07-03,1.41,1.57,1.25,1.37,255300,10.531364
2006-06-01,1.52,1.62,1.11,1.37,321000,10.531364
2006-05-01,1.64,1.98,1.48,1.55,727500,11.915047
2006-04-03,1.54,1.75,1.43,1.58,478600,12.145661
2006-03-01,1.41,1.63,1.24,1.55,362300,11.915047
2006-02-01,1.65,1.77,1.37,1.41,370300,10.838849
2006-01-03,1.50,2.02,1.49,1.68,648800,12.914373
2005-12-01,1.34,1.52,1.28,1.44,356400,11.069463
2005-11-01,1.24,1.55,1.21,1.33,390500,10.223879
2005-10-03,1.35,1.48,1.21,1.26,229300,9.685781
2005-09-01,1.03,1.66,1.03,1.38,451600,10.608235
2005-08-01,0.98,1.10,0.85,1.01,149300,7.763999
2005-07-01,0.89,1.09,0.87,0.96,188800,7.379642
2005-06-01,1.11,1.16,0.85,0.88,296900,6.751787
2005-05-02,0.70,1.18,0.62,1.13,196700,8.669908
2005-04-01,0.92,0.98,0.30,0.70,225600,5.370739
2005-03-01,1.08,1.12,0.82,0.92,393600,7.058686
2005-02-01,1.30,1.55,0.78,1.05,635900,8.056108
2005-01-03,1.46,1.57,1.29,1.31,242400,10.050955
2004-12-01,1.74,1.77,1.44,1.54,292200,11.815626
2004-11-01,1.92,1.96,1.63,1.73,389200,13.273397
2004-10-01,2.04,2.25,1.87,1.91,362700,14.654446
2004-09-01,1.75,2.05,1.64,2.01,259500,15.421695
2004-08-02,2.47,2.57,1.53,1.76,448400,13.503573
2004-07-01,2.53,2.70,2.25,2.42,191300,18.567413
2004-06-01,2.97,2.98,2.33,2.52,179100,19.334661
2004-05-03,2.59,2.98,2.23,2.93,301600,22.480379
2004-04-01,3.51,3.58,2.57,2.61,351200,20.025185
2004-03-01,3.26,3.59,3.04,3.51,348800,26.93042
2004-02-02,3.39,3.78,2.98,3.18,434100,24.3985
2004-01-02,3.18,4.10,3.18,3.38,743400,25.932997
2003-12-01,2.84,3.24,2.34,3.17,520400,24.321777
2003-11-03,2.76,2.90,2.30,2.75,466100,21.099333
2003-10-01,2.88,3.12,2.51,2.80,418700,21.482958
2003-09-02,2.59,3.54,2.46,2.86,652200,21.943306
2003-08-01,2.45,2.79,2.23,2.53,389700,19.411385
2003-07-01,2.58,2.80,2.20,2.45,261000,18.797586
2003-06-02,2.44,2.83,2.28,2.52,213800,19.334661
2003-05-01,2.35,2.93,2.26,2.50,243700,19.181211
2003-04-01,2.63,2.88,2.18,2.29,211700,17.56999
2003-03-03,3.40,3.65,2.11,2.55,351800,19.564837
2003-02-03,4.04,4.32,3.25,3.60,214300,27.620945
2003-01-02,4.00,4.38,3.80,4.00,308300,30.689938
